time,SURF
1.000000000000,0.00000000
11.00000000000,0.00000000
21.00000000000,0.00000000
31.00000000000,0.00000000
41.00000000000,-0.359272235E-06
51.00000000000,-0.397965778E-06
61.00000000000,-0.408079359E-06
71.00000000000,-0.400235876E-06
81.00000000000,-0.380139682E-06
91.00000000000,-0.398402335E-06
101.0000000000,-0.365253072E-06
111.0000000000,-0.497719157E-06
121.0000000000,-0.381332939E-06
131.0000000000,-0.414162059E-06
141.0000000000,-0.114887371E-06
151.0000000000,-0.154803274E-06
161.0000000000,-0.167769031E-06
171.0000000000,-0.144325895E-06
181.0000000000,-0.174972229E-06
191.0000000000,-0.194704626E-06
201.0000000000,-0.319632818E-06
211.0000000000,-0.313841156E-06
221.0000000000,-0.307685696E-06
231.0000000000,-0.476313289E-06
241.0000000000,-0.352913048E-06
251.0000000000,-0.376763637E-06
261.0000000000,-0.389525667E-06
271.0000000000,-0.396088581E-06
281.0000000000,-0.399290002E-06
291.0000000000,-0.402214937E-06
301.0000000000,-0.400992576E-06
311.0000000000,-0.399173587E-06
321.0000000000,-0.397209078E-06
331.0000000000,-0.394778908E-06
341.0000000000,-0.392450602E-06
351.0000000000,-0.389685738E-06
361.0000000000,-0.386862666E-06
371.0000000000,-0.385654857E-06
381.0000000000,-0.381449354E-06
391.0000000000,-0.377229298E-06
401.0000000000,-0.373154762E-06
411.0000000000,-0.369167537E-06
421.0000000000,-0.365340384E-06
431.0000000000,-0.363084837E-06
441.0000000000,-0.357220415E-06
451.0000000000,-0.351923518E-06
461.0000000000,-0.346670276E-06
471.0000000000,-0.340209226E-06
481.0000000000,-0.502303010E-06
491.0000000000,-0.466141501E-06
501.0000000000,-0.350366463E-06
511.0000000000,-0.348591129E-06
521.0000000000,-0.346903107E-06
531.0000000000,-0.345258741E-06
541.0000000000,-0.343643478E-06
551.0000000000,-0.342013664E-06
561.0000000000,-0.340456609E-06
571.0000000000,-0.338972313E-06
581.0000000000,-0.337502570E-06
591.0000000000,-0.336091034E-06
601.0000000000,-0.334708602E-06
611.0000000000,-0.333384378E-06
621.0000000000,-0.332089257E-06
631.0000000000,-0.330823241E-06
641.0000000000,-0.329629984E-06
651.0000000000,-0.328422175E-06
661.0000000000,-0.327287125E-06
671.0000000000,-0.326210284E-06
681.0000000000,-0.325118890E-06
691.0000000000,-0.324100256E-06
701.0000000000,-0.323096174E-06
711.0000000000,-0.322092092E-06
721.0000000000,-0.321160769E-06
731.0000000000,-0.320258550E-06
741.0000000000,-0.319385435E-06
751.0000000000,-0.318541424E-06
761.0000000000,-0.317726517E-06
771.0000000000,-0.316926162E-06
781.0000000000,-0.316140358E-06
791.0000000000,-0.315398211E-06
801.0000000000,-0.314685167E-06
811.0000000000,-0.313943019E-06
821.0000000000,-0.313302735E-06
831.0000000000,-0.312458724E-06
841.0000000000,-0.311905751E-06
851.0000000000,-0.311352778E-06
861.0000000000,-0.310887117E-06
871.0000000000,-0.310392352E-06
881.0000000000,-0.309752068E-06
891.0000000000,-0.309621100E-06
901.0000000000,-0.309330062E-06
911.0000000000,-0.199288479E-06
921.0000000000,-0.656432324E-02
931.0000000000,-0.838728981E-02
941.0000000000,-0.986011158E-02
951.0000000000,-0.113243446E-01
961.0000000000,-0.127822303E-01
971.0000000000,-0.142353660E-01
981.0000000000,-0.156848446E-01
991.0000000000,-0.171313658E-01
1001.000000000,-0.185753215E-01
