time,WEL
1.000000000000,0.300000000E+31
11.00000000000,-270.000000
21.00000000000,-270.000000
31.00000000000,-270.000000
41.00000000000,-270.000000
51.00000000000,-270.000000
61.00000000000,-270.000000
71.00000000000,-270.000000
81.00000000000,-270.000000
91.00000000000,-270.000000
101.0000000000,-270.000000
111.0000000000,-270.000000
121.0000000000,-270.000000
131.0000000000,-270.000000
141.0000000000,-270.000000
151.0000000000,-270.000000
161.0000000000,-270.000000
171.0000000000,-270.000000
181.0000000000,-270.000000
191.0000000000,-270.000000
201.0000000000,-270.000000
211.0000000000,-269.166888
221.0000000000,-257.721808
231.0000000000,-246.663761
241.0000000000,-239.488852
251.0000000000,-234.924088
261.0000000000,-231.766197
271.0000000000,-229.355261
281.0000000000,-227.370939
291.0000000000,-225.660159
301.0000000000,-224.146460
311.0000000000,-222.787955
321.0000000000,-221.558746
331.0000000000,-220.440808
341.0000000000,-219.420399
351.0000000000,-218.486401
361.0000000000,-217.629497
371.0000000000,-216.841714
381.0000000000,-216.116143
391.0000000000,-215.446744
401.0000000000,-214.828203
411.0000000000,-214.255821
421.0000000000,-213.725427
431.0000000000,-213.233302
441.0000000000,-212.776120
451.0000000000,-212.350899
461.0000000000,-211.954957
471.0000000000,-211.585878
481.0000000000,-211.241477
491.0000000000,-210.919779
501.0000000000,-210.618665
511.0000000000,-210.335976
521.0000000000,-210.069726
531.0000000000,-209.818154
541.0000000000,-209.579724
551.0000000000,-209.353102
561.0000000000,-209.137135
571.0000000000,-208.930824
581.0000000000,-208.733300
591.0000000000,-208.543808
601.0000000000,-208.361690
611.0000000000,-208.186367
621.0000000000,-208.017330
631.0000000000,-207.854131
641.0000000000,-207.696370
651.0000000000,-207.543693
661.0000000000,-207.395780
671.0000000000,-207.252347
681.0000000000,-207.113135
691.0000000000,-206.977909
701.0000000000,-206.846457
711.0000000000,-206.718585
721.0000000000,-206.594113
731.0000000000,-206.472877
741.0000000000,-206.354726
751.0000000000,-206.239520
761.0000000000,-206.127127
771.0000000000,-206.017428
781.0000000000,-205.910308
791.0000000000,-205.805662
801.0000000000,-205.703391
811.0000000000,-205.603401
821.0000000000,-205.505606
831.0000000000,-205.409921
841.0000000000,-205.316271
851.0000000000,-205.224580
861.0000000000,-205.134780
871.0000000000,-205.046804
881.0000000000,-204.960589
891.0000000000,-204.876077
901.0000000000,-204.793210
911.0000000000,-204.711935
921.0000000000,-204.632200
931.0000000000,-204.553952
941.0000000000,-204.477145
951.0000000000,-204.401731
961.0000000000,-204.327669
971.0000000000,-204.254916
981.0000000000,-204.183433
991.0000000000,-204.113183
1001.000000000,-204.044129
